SpeciesGroup,beta0,beta1
aa,-2.2094,2.3867
mb,-1.9123,2.3651
mh,-2.48,2.4835
mo,-2.0127,2.4342
cl,-2.0336,2.2592
df,-2.2304,2.4435
tf,-2.5384,2.4814
pi,-2.5356,2.4349
sp,-2.0773,2.3323
wo,-0.7152,1.7029
