reference,growthform,leafhabit,phylogeny,Family,Species,treesmeasured,delta13C,delta13Cair,delta13CairA,deltaleaf,locationmean,latitudeE,longitudeN,location,continent,altitude,MAP,P-JJA,MAT,T-JJA,VPD,PET,percentsun,Continentality,frostfreedays,BiomeK,BiomeL
Williams and Ehleringer (16),Tree,D,A,Fagaceae,Quercus_gambelii,6,-27.2,-8,E,19.74,,34.7,-113.9,"Grand Canyon, AZ USA ",NAm,2120,309.33,57.6,18.6,26.9,26.15,2597.4,85.8,44.7,11,XWS,XWS
Williams and Ehleringer (16),Tree,E,G,Cupressaceae,Juniperus_osteosperma,5,-25.2,-8,E,17.64,17.68,34.3,-110.23,"Pinedale, AZ USA ",NAm,1970,459.26,140,12.1,20.8,17.17,1479.4,74.5,41.7,42,XWS,XWS
Williams and Ehleringer (16),Tree,E,G,Pinaceae,Pinus_edulis,5,-23.54,-8,E,15.91,,34.3,-110.23,"Pinedale, AZ USA ",NAm,1970,459.26,140,12.1,20.8,17.17,1479.4,74.5,41.7,42,XWS,XWS
Williams and Ehleringer (16),Tree,D,A,Fagaceae,Quercus_gambelii,5,-26.96,-8,E,19.49,,34.3,-110.23,"Pinedale, AZ USA ",NAm,1970,459.26,140,12.1,20.8,17.17,1479.4,74.5,41.7,42,XWS,XWS
Williams and Ehleringer (16),Tree,E,G,Cupressaceae,Juniperus_osteosperma,5,-23.5,-8,E,15.87,17.66,40.5,-112.28,"Tooele, UT USA ",NAm,1980,561.76,82.7,10.1,21.3,16.14,1409.8,72.5,46.4,34,XWS,XWS
Williams and Ehleringer (16),Tree,D,A,Fagaceae,Quercus_gambelii,5,-26.92,-8,E,19.44,,40.5,-112.28,"Tooele, UT USA ",NAm,1980,561.76,82.7,10.1,21.3,16.14,1409.8,72.5,46.4,34,XWS,XWS
Williams and Ehleringer (16),Tree,E,G,Cupressaceae,Juniperus_osteosperma,4,-23.85,-8,E,16.24,17.29,37.2,-113.9,"Zion Nat. Park, UT USA ",NAm,2000,309.33,57.6,11.8,22.1,19.21,1486.2,72.2,41.7,48,XWS,XWS
Williams and Ehleringer (16),Tree,E,G,Pinaceae,Pinus_edulis,4,-23.28,-8,E,15.64,,37.2,-113.9,"Zion Nat. Park, UT USA ",NAm,2000,309.33,57.6,11.8,22.1,19.21,1486.2,72.2,41.7,48,XWS,XWS
Williams and Ehleringer (16),Tree,D,A,Fagaceae,Quercus_gambelii,4,-27.45,-8,E,20,,37.2,-113.9,"Zion Nat. Park, UT USA ",NAm,2000,309.33,57.6,11.8,22.1,19.21,1486.2,72.2,41.7,48,XWS,XWS
McArthur and Moorhead (17),Tree,D,A,Sapindaceae,Acer_rubrum,5,-30.2,-7.88,E,23.02,23.38,33.32,-81.72,"Aiken, SC USA Upper",NAm,60,1215.39,370.1,18.1,26.6,9.73,1365.7,63.7,43.2,9,EWMF,EWMF
McArthur and Moorhead (17),Tree,D,A,Fagaceae,Quercus_laurifolia,5,-30.2,-7.88,E,23.02,,33.32,-81.72,"Aiken, SC USA Upper",NAm,60,1215.39,370.1,18.1,26.6,9.73,1365.7,63.7,43.2,9,EWMF,EWMF
McArthur and Moorhead (17),Tree,D,A,Betulaceae,Carpinus_caroliniana,5,-31.1,-7.88,E,23.97,,33.32,-81.72,"Aiken, SC USA Upper",NAm,60,1215.39,370.1,18.1,26.6,9.73,1365.7,63.7,43.2,9,EWMF,EWMF
McArthur and Moorhead (17),Tree,E,A,Aquifoliales,Ilex_opaca,5,-29.7,-7.88,E,22.49,,33.32,-81.72,"Aiken, SC USA Upper",NAm,60,1215.39,370.1,18.1,26.6,9.73,1365.7,63.7,43.2,9,EWMF,EWMF
McArthur and Moorhead (17),Tree,D,A,Sapindaceae,Acer_rubrum,5,-31.3,-7.88,E,24.18,,33.32,-81.72,"Aiken, SC USA Middle",NAm,60,1215.39,370.1,18.1,26.6,9.73,1365.7,63.7,43.2,9,EWMF,EWMF
McArthur and Moorhead (17),Tree,D,A,Fagaceae,Quercus_nigra,5,-30.2,-7.88,E,23.02,,33.32,-81.72,"Aiken, SC USA Middle",NAm,60,1215.39,370.1,18.1,26.6,9.73,1365.7,63.7,43.2,9,EWMF,EWMF
McArthur and Moorhead (17),Tree,D,A,Betulaceae,Carpinus_caroliniana,5,-30.5,-7.88,E,23.33,,33.32,-81.72,"Aiken, SC USA Middle",NAm,60,1215.39,370.1,18.1,26.6,9.73,1365.7,63.7,43.2,9,EWMF,EWMF
McArthur and Moorhead (17),Tree,E,A,Aquifoliales,Ilex_opaca,5,-30,-7.88,E,22.8,,33.32,-81.72,"Aiken, SC USA Middle",NAm,60,1215.39,370.1,18.1,26.6,9.73,1365.7,63.7,43.2,9,EWMF,EWMF
McArthur and Moorhead (17),Tree,D,A,Altingiaceae,Liquidambar_styraciflua,5,-31,-7.88,E,23.86,,33.32,-81.72,"Aiken, SC USA Middle",NAm,60,1215.39,370.1,18.1,26.6,9.73,1365.7,63.7,43.2,9,EWMF,EWMF
McArthur and Moorhead (17),Tree,D,A,Cornaceae,Nyssa_sylvatica,5,-32.8,-7.88,E,25.77,,33.32,-81.72,"Aiken, SC USA Lower",NAm,60,1215.39,370.1,18.1,26.6,9.73,1365.7,63.7,43.2,9,EWMF,EWMF
McArthur and Moorhead (17),Tree,D,A,Sapindaceae,Acer_rubrum,5,-31.3,-7.88,E,24.18,,33.32,-81.72,"Aiken, SC USA Lower",NAm,60,1215.39,370.1,18.1,26.6,9.73,1365.7,63.7,43.2,9,EWMF,EWMF
McArthur and Moorhead (17),Tree,D,G,Cupressaceae,Taxodium_distichum,5,-28.2,-7.88,E,20.91,,33.32,-81.72,"Aiken, SC USA Lower",NAm,60,1215.39,370.1,18.1,26.6,9.73,1365.7,63.7,43.2,9,EWMF,EWMF
Li et al. (18),Tree,E,G,Pinaceae,Pinus_massoniana,13,-29.15,-8.07,E,21.71,21.98,26.43,115.03,China A,AS,89,1461,468.06,19.1,27.7,9.25,1017.8,31.1,68,2,EWMF,EWMF
Li et al. (18),Tree,E,A,Theaceae,Schima_superba,13,-29.65,-8.07,E,22.24,,26.43,115.03,China A,AS,89,1461,468.06,19.1,27.7,9.25,1017.8,31.1,68,2,EWMF,EWMF
Delucia and Schlesinger (19),Shrub,E,A,Asteraceae,Artemisia_tridentata,1,-24.05,-7.62,E,16.83,15.62,39.47,-119.38,"Ramsey Mine, NV USA ",NAm,1700,323.49,32.1,10.7,19.5,15.08,1321.4,80.2,38.1,45,XWS,XWS
Delucia and Schlesinger (19),Tree,E,G,Cupressaceae,Juniperus_osteosperma,1,-23.05,-7.62,E,15.79,,39.47,-119.38,"Ramsey Mine, NV USA ",NAm,1700,323.49,32.1,10.7,19.5,15.08,1321.4,80.2,38.1,45,XWS,XWS
Delucia and Schlesinger (19),Tree,E,G,Pinaceae,Pinus_ponderosa,1,-21.55,-7.62,E,14.24,,39.47,-119.38,"Ramsey Mine, NV USA ",NAm,1700,323.49,32.1,10.7,19.5,15.08,1321.4,80.2,38.1,45,XWS,XWS
Delucia and Schlesinger (19),Shrub,D,A,Rosaceae,Amelanchier_alnifolia,1,-25.74,-7.62,E,18.6,16.22,39.38,-119.72,"Virginia Mountains, NV USA ",NAm,1615,297.3,22.6,7.8,16.6,12.7,1332.4,80.6,41.5,33,XWS,XWS
Delucia and Schlesinger (19),Shrub,E,A,Asteraceae,Artemesia_tridentata,1,-25.4,-7.62,E,18.24,,39.38,-119.72,"Virginia Mountains, NV USA ",NAm,1615,297.3,22.6,7.8,16.6,12.7,1332.4,80.6,41.5,33,XWS,XWS
Delucia and Schlesinger (19),Tree,E,G,Cupressaceae,Juniperus_osteosperma,1,-22.52,-7.62,E,15.24,,39.38,-119.72,"Virginia Mountains, NV USA ",NAm,1615,297.3,22.6,7.8,16.6,12.7,1332.4,80.6,41.5,33,XWS,XWS
Delucia and Schlesinger (19),Tree,E,G,Pinaceae,Pinus_monophylla,1,-21.36,-7.62,E,14.04,,39.38,-119.72,"Virginia Mountains, NV USA ",NAm,1615,297.3,22.6,7.8,16.6,12.7,1332.4,80.6,41.5,33,XWS,XWS
Delucia and Schlesinger (19),Tree,E,G,Pinaceae,Pinus_ponderosa,1,-22.26,-7.62,E,14.97,,39.38,-119.72,"Virginia Mountains, NV USA ",NAm,1615,297.3,22.6,7.8,16.6,12.7,1332.4,80.6,41.5,33,XWS,XWS
Delucia and Schlesinger (19),Shrub,E,A,Asteraceae,Artemisia_tridentata,1,-24.81,-7.62,E,17.63,16.3,39.55,-119.88,"Peavine Mountain, NV USA ",NAm,1710,367.86,32.7,9.3,17.8,13.09,1313.5,80.2,32.9,49,XWS,XWS
Delucia and Schlesinger (19),Shrub,D,A,"Rosaceae	",Purshia_tridentata,1,-24.15,-7.62,E,16.94,,39.55,-119.88,"Peavine Mountain, NV USA ",NAm,1710,367.86,32.7,9.3,17.8,13.09,1313.5,80.2,32.9,49,XWS,XWS
Delucia and Schlesinger (19),Tree,E,G,Pinaceae,Pinus_jeffreyi,1,-22.97,-7.62,E,15.71,,39.55,-119.88,"Peavine Mountain, NV USA ",NAm,1710,367.86,32.7,9.3,17.8,13.09,1313.5,80.2,32.9,49,XWS,XWS
Delucia and Schlesinger (19),Tree,E,G,Pinaceae,Pinus_ponderosa,1,-22.23,-7.62,E,14.94,,39.55,-119.88,"Peavine Mountain, NV USA ",NAm,1710,367.86,32.7,9.3,17.8,13.09,1313.5,80.2,32.9,49,XWS,XWS
Delucia and Schlesinger (19),Shrub,E,A,Asteraceae,Artemisia_tridentata,1,-25.9,-7.62,E,18.77,17.7,38.68,-119.72,"Alpine County, NV USA ",NAm,2088,766.65,51.3,6.8,15.4,12.2,1309.6,80.3,30.2,39,CCMF,CCF
Delucia and Schlesinger (19),Shrub,E,A,Ericaceae,Arctostaphylos_patula,1,-26.5,-7.62,E,19.39,,38.68,-119.72,"Alpine County, NV USA ",NAm,2088,766.65,51.3,6.8,15.4,12.2,1309.6,80.3,30.2,39,CCMF,CCF
Delucia and Schlesinger (19),Tree,E,G,Pinaceae,Pinus_jeffreyi,1,-22.22,-7.62,E,14.93,,38.68,-119.72,"Alpine County, NV USA ",NAm,2088,766.65,51.3,6.8,15.4,12.2,1309.6,80.3,30.2,39,CCMF,CCF
Collister et al. (20),Tree,D,A,Fagaceae,Fagus_cylvatica,1,-29.8,-7.75,E,22.73,22.56,51.44,-2.62,"Bristol, UK",EU,70,861.12,193.26,10.3,15.9,4.37,624.6,32.8,9.6,31,,
Collister et al. (20),Tree,D,A,Sapindaceae,Acer_campestre,1,-30.4,-7.75,E,23.36,,51.44,-2.62,"Bristol, UK",EU,70,861.12,193.26,10.3,15.9,4.37,624.6,32.8,9.6,31,,
Collister et al. (20),Tree,E,A,Magnoliaceae,Magnolia_delavayi,1,-28.7,-7.75,E,21.57,,51.44,-2.62,"Bristol, UK",EU,70,861.12,193.26,10.3,15.9,4.37,624.6,32.8,9.6,31,,
Collister et al. (20),Tree,D,A,Fagaceae,Quercus_turneri,1,-28.8,-7.75,E,21.67,,51.44,-2.62,"Bristol, UK",EU,70,861.12,193.26,10.3,15.9,4.37,624.6,32.8,9.6,31,,
Collister et al. (20),Tree,D,A,Fagaceae,Quercus_rober,1,-30.5,-7.75,E,23.47,,51.44,-2.62,"Bristol, UK",EU,70,861.12,193.26,10.3,15.9,4.37,624.6,32.8,9.6,31,,
Inagaki et al. (21),Tree,E,G,Pinaceae,Pinus_densiflora,1,-27.9,-8.06,E,20.41,,33.8,133.82,Japan B,AS,610,2580,999.06,13.5,22.4,6.9,824.9,38.9,46.9,16,EWMF,EWMF
Marshall and Zhang (22),Tree,E,G ,Cupressaceae,Thuja_plicata,20,,-8,E,16.67,19.22,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,E,G ,Pinaceae,Pinus_albicaulis,20,,-8,E,18.04,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,E,G ,Pinaceae,Picea_engelmannii,40,,-8,E,18.15,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,E,G ,Pinaceae,Pseudotsuga_menziesii,65,,-8,E,18.42,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,E,G ,Pinaceae,Abies_lasiocarpa,30,,-8,E,18.52,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,E,G ,Pinaceae,Pinus_monticola,20,,-8,E,18.58,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,E,G ,Pinaceae,Pinus_ponderosa,30,,-8,E,18.65,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,E,G ,Pinaceae,Pinus_contorta,45,,-8,E,18.94,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,D,A,Salicaceae,Populus_tremuloides,60,,-8,E,19.27,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,D,A,Salicaceae,Salix_scouleriana,30,,-8,E,19.41,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,E,G ,Pinaceae,Tsuga_heterophylla,15,,-8,E,19.44,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,D,A,Salicaceae,Populus_trichocarpa,40,,-8,E,19.45,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,E,G ,Pinaceae,Abies_grandis,30,,-8,E,19.75,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,D,A,Sapindaceae,Acer_glabrum,35,,-8,E,19.95,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,D,A,Rosaceae,Sorbus_spp,20,,-8,E,20.3,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,D,A,Rosaceae,Amelancher_alnifolia,30,,-8,E,20.6,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,D,A,Betulaceae,Betula_spp,25,,-8,E,20.78,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Marshall and Zhang (22),Tree,D,G ,Pinaceae,Larix_occidentalis,45,,-8,E,20.95,,,,ID and BC USA and Canada ,NAm,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Shrub,E,A,Anacardiaceae,Pistacia_lentiscus,1,-27,-6.4,E,21.17,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Shrub,E,A,Ericaceae,Rhododendron_ferrugineum,1,-25.87,-6.4,E,19.99,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,D,A,Betulaceae,Alnus_glutinosa,1,-26.06,-6.4,E,20.19,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,D,A,Betulaceae,Betula_pendula,1,-25.08,-6.4,E,19.16,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,D,A,Buxaceae,Buxus_sempervirens,1,-24.34,-6.4,E,18.39,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,A,Fabaceae,Ceratonia_siliqua,1,-26.18,-6.4,E,20.31,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,G,Cupressaceae,Juniperus_communis,1,-23.28,-6.4,E,17.28,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,G,Pinaceae,Pinus_pinea,1,-26.81,-6.4,E,20.97,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,G,Pinaceae,Pinus_uncinata,1,-26.91,-6.4,E,21.08,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Shrub,E,A,Anacardiaceae,Pistacia_lentiscus,1,-26.55,-6.5,E,20.6,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Shrub,E,A,Ericaceae,Rhododendron_ferrugineum,1,-25.93,-6.5,E,19.95,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,D,A,Betulaceae,Alnus_glutinosa,1,-26.56,-6.5,E,20.61,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,D,A,Betulaceae,Betula_pendula,1,-26.95,-6.5,E,21.02,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,D,A,Buxaceae,Buxus_sempervirens,1,-25.9,-6.5,E,19.92,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,A,Fabaceae,Ceratonia_siliqua,1,-24.41,-6.5,E,18.36,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,G,Cupressaceae,Juniperus_communis,1,-23.1,-6.5,E,16.99,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,G,Pinaceae,Pinus_pinea,1,-26.92,-6.5,E,20.98,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,G,Pinaceae,Pinus_uncinata,1,-24.02,-6.5,E,17.95,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Shrub,E,A,Anacardiaceae,Pistacia_lentiscus,1,-27.05,-6.8,E,20.81,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Shrub,E,A,Ericaceae,Rhododendron_ferrugineum,1,-28.68,-6.8,E,22.53,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,D,A,Betulaceae,Alnus_glutinosa,1,-27.21,-6.8,E,20.98,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,D,A,Betulaceae,Betula_pendula,1,-25.22,-6.8,E,18.9,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,D,A,Buxaceae,Buxus_sempervirens,1,-23.29,-6.8,E,16.88,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,A,Fabaceae,Ceratonia_siliqua,1,-26.05,-6.8,E,19.76,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,G,Cupressaceae,Juniperus_communis,1,-26.07,-6.8,E,19.79,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,G,Pinaceae,Pinus_pinea,1,-26.94,-6.8,E,20.7,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,G,Pinaceae,Pinus_uncinata,1,-26.9,-6.8,E,20.66,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Shrub,E,A,Anacardiaceae,Pistacia_lentiscus,1,-27.61,-7.8,E,20.37,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Shrub,E,A,Ericaceae,Rhododendron_ferrugineum,1,-25.54,-7.8,E,18.2,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,D,A,Betulaceae,Alnus_glutinosa,1,-28.82,-7.8,E,21.64,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,D,A,Betulaceae,Betula_pendula,1,-25.96,-7.8,E,18.64,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,D,A,Buxaceae,Buxus_sempervirens,1,-23.67,-7.8,E,16.25,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,A,Fabaceae,Ceratonia_siliqua,1,-26.84,-7.8,E,19.57,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,G,Cupressaceae,Juniperus_communis,1,-25.77,-7.8,E,18.45,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,G,Pinaceae,Pinus_pinea,1,-27.61,-7.8,E,20.37,,,,Spain H,EU,,,,,,,,,,,,
Penuelas and Azcon-Bieto (23),Tree,E,G,Pinaceae,Pinus_uncinata,1,-25.43,-7.8,E,18.09,,,,Spain H,EU,,,,,,,,,,,,
Van de Water et al. (24),Shrub,D,A,Rosaceae,Amelanchier_utahensis,88,-25,-7.85,E,17.59,16.49,,,UT USA A,NAm,,,,,,,,,,,XWS,XWS
Van de Water et al. (24),Shrub,D,A,Rosaceae,Cercocarpus_montanus,64,-25.3,-7.85,E,17.9,,,,UT USA A,NAm,,,,,,,,,,,XWS,XWS
Van de Water et al. (24),Shrub,D,A,Rosaceae,Cowania_mexicana,48,-25.1,-7.85,E,17.69,,,,UT USA A,NAm,,,,,,,,,,,XWS,XWS
Van de Water et al. (24),Tree,E,G,Pinaceae,Pinus_edulis,83,-21,-7.85,E,13.43,,,,UT USA A,NAm,,,,,,,,,,,XWS,XWS
Van de Water et al. (24),Tree,E,G,Cupressaceae,Juniperus_osteosperma,121,-23.3,-7.85,E,15.82,,,,UT USA A,NAm,,,,,,,,,,,XWS,XWS
Van de Water et al. (24),Shrub,D,A,Rosaceae,Cercocarpus_montanus,55,-24.9,-7.85,E,17.49,16.22,,,NM USA ,NAm,,,,,,,,,,,XWS,XWS
Van de Water et al. (24),Tree,E,G,Pinaceae,Pinus_edulis,44,-21.8,-7.85,E,14.26,,,,NM USA ,NAm,,,,,,,,,,,XWS,XWS
Van de Water et al. (24),Tree,E,G,Cupressaceae,Juniperus_coahuilensis,9,-22.8,-7.85,E,15.3,,,,NM USA ,NAm,,,,,,,,,,,XWS,XWS
Van de Water et al. (24),Tree,E,G,Cupressaceae,Juniperus_deppeana,24,-25,-7.85,E,17.59,,,,NM USA ,NAm,,,,,,,,,,,XWS,XWS
Van de Water et al. (24),Tree,E,G,Cupressaceae,Juniperus_monosperma,35,-23.9,-7.85,E,16.44,,,,NM USA ,NAm,,,,,,,,,,,XWS,XWS
Gerdol et al. (25),Shrub,D,A ,Ericaceae,Vaccinium_myrtillus,10,-30.12,-7.91,E,22.9,22.06,46.35,11.83,"Falcade, Italy",EU,1600,1200,375.99,2.1,10,2.38,722.5,45.4,17.7,37,CCEF,CCF
Gerdol et al. (25),Shrub,E,A ,Ericaceae,Vaccinium_vitis-idaea,10,-28.53,-7.91,E,21.23,,46.35,11.83,"Falcade, Italy",EU,1600,1200,375.99,2.1,10,2.38,722.5,45.4,17.7,37,CCEF,CCF
Donovan and Ehleringer (26),Shrub,D,A,Asteraceae,Artemisia_tridentata,10,,-8,E,20.17,19.77,40.8,-111.78,"Red Butte Canyon, UT USA A",NAm,1630,795.09,94.14,7.2,17.8,11.99,1434,69.1,44.2,42,CCMF,CCF
Donovan and Ehleringer (26),Shrub,D,A,Asteraceae,Chrysothamnus_nauseosus,46,,-8,E,20.01,,40.8,-111.78,"Red Butte Canyon, UT USA A",NAm,1630,795.09,94.14,7.2,17.8,11.99,1434,69.1,44.2,42,CCMF,CCF
Donovan and Ehleringer (26),Tree,D,A,Sapindaceae,Acer_negundo,37,,-8,E,19.15,,40.8,-111.78,"Red Butte Canyon, UT USA A",NAm,1630,795.09,94.14,7.2,17.8,11.99,1434,69.1,44.2,42,CCMF,CCF
Donovan and Ehleringer (26),Shrub,D,A,Salicaceae,Salix_exigua,9,,-8,E,19.73,,40.8,-111.78,"Red Butte Canyon, UT USA A",NAm,1630,795.09,94.14,7.2,17.8,11.99,1434,69.1,44.2,42,CCMF,CCF
Donovan and Ehleringer (26),Shrub,D,A,Asteraceae,Chrysothamnus_nauseosus,13,,-8,E,18.54,,39.92,-112.05,"Tintic, UT USA ",NAm,1775,452.39,83.55,8.4,19.2,14.46,1396.3,72.4,47.3,36,XWS,XWS
Ehleringer et al. (27),Shrub,E,A,Asteraceae,Acamptopappus_sphaerocephalus,12,,-8,E,20,18.8,34.95,-114.42,AZ USA,NAm,785,198.81,41.28,20.4,30.7,32.78,2618.2,88.3,49.2,6,XWS,XWS
Ehleringer et al. (27),Shrub,E,A,Asteraceae,Ambrosia_dumosa,15,,-8,E,19.1,,34.95,-114.42,AZ USA,NAm,785,198.81,41.28,20.4,30.7,32.78,2618.2,88.3,49.2,6,XWS,XWS
Ehleringer et al. (27),Shrub,E,A,Asteraceae,Ambrosia_eriocentra,30,,-8,E,19.6,,34.95,-114.42,AZ USA,NAm,785,198.81,41.28,20.4,30.7,32.78,2618.2,88.3,49.2,6,XWS,XWS
Ehleringer et al. (27),Shrub,E,A,Asteraceae,Encelia_farinosa,21,,-8,E,17.8,,34.95,-114.42,AZ USA,NAm,785,198.81,41.28,20.4,30.7,32.78,2618.2,88.3,49.2,6,XWS,XWS
Ehleringer et al. (27),Shrub,E,A,Asteraceae,Hymenoclea_monogyra,24,,-8,E,18.5,,34.95,-114.42,AZ USA,NAm,785,198.81,41.28,20.4,30.7,32.78,2618.2,88.3,49.2,6,XWS,XWS
Ehleringer (28),Shrub,E,A,Asteraceae,Encelia_farinosa,227,,-8,E,17.77,,34.95,-114.42,AZ USA,NAm,550,198.81,41.28,20.4,30.7,32.78,2618.2,88.3,49.2,6,XWS,XWS
Kohorn et al. (29),Shrub,E,A,Simmondsiaceae,Simmondsia_chinensis,36,-24.8,-7.82,E,17.41,,33.95,-115.97,"Joshua Tree National Monument, CA USA ",NAm,884,146.61,32.52,19.9,29.5,28.24,2618.2,88.3,49.2,6,XWS,XWS
Mooney et al. (30),Shrub,D,A,Solanaeceae,Capsicum_annuum,1,-28.7,-7.85,E,21.47,19.83,19.5,-105.05,Mexico,NAm,50,784,,26.1,28.3,11.07,1446.1,58,2.9,0,TDF,TDF
Mooney et al. (30),Shrub,D,A,Euphorbiaceae,Croton_pseudoniveus,6,-28.1,-7.8,E,20.89,,19.5,-105.05,Mexico,NAm,50,784,,26.1,28.3,11.07,1446.1,58,2.9,0,TDF,TDF
Mooney et al. (30),Shrub,D,A,Erthroxylaceae,Erythroxylum_havanense,1,-27,-7.8,E,19.73,,19.5,-105.05,Mexico,NAm,50,784,,26.1,28.3,11.07,1446.1,58,2.9,0,TDF,TDF
Mooney et al. (30),Shrub,D,A,Rubiaceae,Hamelia_versicolor,1,-27.4,-7.8,E,20.15,,19.5,-105.05,Mexico,NAm,50,784,,26.1,28.3,11.07,1446.1,58,2.9,0,TDF,TDF
Mooney et al. (30),Shrub,D,A,Theophrastaceae,Jacquinia_pungens,8,-25.7,-7.8,E,18.37,,19.5,-105.05,Mexico,NAm,50,784,,26.1,28.3,11.07,1446.1,58,2.9,0,TDF,TDF
Mooney et al. (30),Shrub,D,A,Apocynaceae,Stemmadenia_sp,1,-28.8,-7.8,E,21.62,,19.5,-105.05,Mexico,NAm,50,784,,26.1,28.3,11.07,1446.1,58,2.9,0,TDF,TDF
Mooney et al. (30),Shrub,D,A,Apocynaceae,Thevetia_ovata,1,-27.6,-7.8,E,20.36,,19.5,-105.05,Mexico,NAm,50,784,,26.1,28.3,11.07,1446.1,58,2.9,0,TDF,TDF
Mooney et al. (30),Tree,D,A,Fabaceae,Acacia_angustissima,1,-26.9,-7.8,E,19.63,,19.5,-105.05,Mexico,NAm,50,784,,26.1,28.3,11.07,1446.1,58,2.9,0,TDF,TDF
