family_old_with_errors,family,genus,taxon,species,name_matched,accepted_name,Taxonomic_status,limit.s,limit.n,lat.mid,lat.ext,trop.frac,temp.frac,tropicality
acanthaceae,acanthaceae,ruellia,ruellia_chartacea,chartacea,ruellia_chartacea,ruellia_chartacea,Accepted,-7.2,1.3,-3,8.5,1,0,1
acanthaceae,acanthaceae,dyschoriste,dyschoriste_quitensis,quitensis,dyschoriste_quitensis,dyschoriste_quitensis,Accepted,-5.7,-0.1,-2.9,5.6,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_tessmannii,tessmannii,aphelandra_tessmannii,aphelandra_rosulata,Synonym,-5,-0.7,-2.8,4.3,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_diffusa,diffusa,aphelandra_diffusa,aphelandra_diffusa,Accepted,-4,-1.7,-2.8,2.3,1,0,1
acanthaceae,acanthaceae,justicia,justicia_chloanantha,chloanantha,justicia_chloanantha,justicia_chloanantha,Accepted,-5.1,-0.1,-2.6,5,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_rotundifolia,rotundifolia,mendoncia_rotundifolia,mendoncia_rotundifolia,Accepted,-3.8,-1.5,-2.6,2.4,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_erythropus,erythropus,ruellia_erythropus,ruellia_erythropus,Accepted,-25.9,20.8,-2.5,46.7,0.948608137,-0.051391863,0.897216274
acanthaceae,acanthaceae,aphelandra,aphelandra_dielsii,dielsii,aphelandra_dielsii,aphelandra_dielsii,Accepted,-4.2,-0.6,-2.4,3.6,1,0,1
acanthaceae,acanthaceae,justicia,justicia_comata,comata,justicia_comata,justicia_comata,Accepted,-26,21.3,-2.4,47.3,0.947145877,-0.052854123,0.894291755
acanthaceae,acanthaceae,aphelandra,aphelandra_guayasii,guayasii,aphelandra_guayasii,aphelandra_guayasii,Accepted,-2.4,-2.2,-2.3,0.2,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_tessmannii,tessmannii,mendoncia_tessmannii,mendoncia_tessmannii,Accepted,-4.2,-0.4,-2.3,3.8,1,0,1
acanthaceae,acanthaceae,justicia,justicia_colorata,colorata,justicia_colorata,justicia_colorata,Accepted,-4,-0.1,-2.1,3.9,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_sulphurea,sulphurea,aphelandra_sulphurea,aphelandra_sulphurea,Accepted,-2.6,-1.5,-2,1.1,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_formosa,formosa,aphelandra_formosa,aphelandra_formosa,Accepted,-3.1,0.5,-1.3,3.5,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_rosulata,rosulata,aphelandra_rosulata,aphelandra_rosulata,Accepted,-2.6,-0.1,-1.3,2.5,1,0,1
acanthaceae,acanthaceae,justicia,justicia_riopalenquensis,riopalenquensis,justicia_riopalenquensis,justicia_riopalenquensis,Accepted,-3.5,0.8,-1.3,4.2,1,0,1
acanthaceae,acanthaceae,justicia,justicia_idiogenes,idiogenes,justicia_idiogenes,justicia_idiogenes,Accepted,-1.8,-0.7,-1.3,1.1,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_pedunculata,pedunculata,mendoncia_pedunculata,mendoncia_pedunculata,Accepted,-11,8.3,-1.3,19.3,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_hoffmannseggiana,hoffmannseggiana,mendoncia_hoffmannseggiana,mendoncia_hoffmannseggiana,Accepted,-11,8.5,-1.3,19.5,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_putumayensis,putumayensis,ruellia_putumayensis,ruellia_putumayensis,Accepted,-1.7,-0.8,-1.3,0.9,1,0,1
acanthaceae,acanthaceae,justicia,justicia_sanchezioides,sanchezioides,justicia_sanchezioides,justicia_sanchezioides,Accepted,-2,-0.3,-1.2,1.7,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_hodgei,hodgei,aphelandra_hodgei,aphelandra_hodgei,Accepted,-1.7,-0.6,-1.1,1.1,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_attenuata,attenuata,aphelandra_attenuata,aphelandra_attenuata,Accepted,-2.4,0.4,-1,2.7,1,0,1
acanthaceae,acanthaceae,justicia,justicia_pectoralis,pectoralis,justicia_pectoralis,justicia_pectoralis,Accepted,-23.1,21.3,-0.9,44.4,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_cirsioides,cirsioides,aphelandra_cirsioides,aphelandra_cirsioides,Accepted,-5.7,4.2,-0.8,9.9,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_pilosa,pilosa,mendoncia_pilosa,mendoncia_pilosa,Accepted,-5,3.6,-0.7,8.6,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_flammea,flammea,aphelandra_flammea,encephalosphaera_vitellina,Synonym,-2.4,1.1,-0.6,3.5,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_crispata,crispata,aphelandra_crispata,aphelandra_crispata,Accepted,-1.7,0.5,-0.6,2.2,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_ameleta,ameleta,aphelandra_ameleta,aphelandra_ameleta,Accepted,-1.1,-0.1,-0.6,1,1,0,1
acanthaceae,acanthaceae,justicia,justicia_ianthina,ianthina,justicia_ianthina,justicia_ianthina,Accepted,-1.8,0.8,-0.5,2.6,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_riopalenquensis,riopalenquensis,ruellia_riopalenquensis,ruellia_terminalis,Synonym,-1.3,0.8,-0.3,2.1,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_mutisii,mutisii,aphelandra_mutisii,aphelandra_formosa,Synonym,-2.5,2,-0.2,4.5,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_benoistii,benoistii,aphelandra_benoistii,aphelandra_benoistii,Accepted,-0.1,0.5,0.2,0.6,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_lindavii,lindavii,mendoncia_lindavii,mendoncia_lindavii,Accepted,-16.2,16.8,0.3,33,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_albinotata,albinotata,aphelandra_albinotata,aphelandra_albinotata,Accepted,0,0.8,0.4,0.8,1,0,1
acanthaceae,acanthaceae,habracanthus,habracanthus_sanguineus,sanguineus,habracanthus_sanguineus,stenostephanus_sanguineus,Synonym,-1,2.3,0.7,3.2,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_terminale,terminale,ruellia_terminalis,ruellia_terminalis,Accepted,-5,6.5,0.8,11.5,1,0,1
acanthaceae,acanthaceae,habracanthus,habracanthus_harlingii,harlingii,habracanthus_harlingii,stenostephanus_harlingii,Synonym,-0.2,2.3,1,2.5,1,0,1
acanthaceae,acanthaceae,avicennia,avicennia_tomentosa,tomentosa,avicennia_tomentosa,avicennia_germinans,Synonym,-4.2,6.6,1.2,10.8,1,0,1
acanthaceae,acanthaceae,justicia,justicia_chlorostachya,chlorostachya,justicia_chlorostachya,justicia_chlorostachya,Accepted,-3.5,6.8,1.6,10.2,1,0,1
acanthaceae,acanthaceae,justicia,justicia_aurea,aurea,justicia_aurea,justicia_aurea,Accepted,-13.5,16.8,1.7,30.3,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_aurantiaca,aurantiaca,aphelandra_aurantiaca,aphelandra_aurantiaca,Accepted,-17.4,21.3,2,38.7,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_orbicularis,orbicularis,mendoncia_orbicularis,mendoncia_orbicularis,Accepted,-2.6,6.6,2,9.2,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_crenata,crenata,aphelandra_crenata,aphelandra_crenata,Accepted,-2.5,6.6,2.1,9,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_brittoniana,brittoniana,ruellia_brittoniana,ruellia_simplex,Synonym,-26.6,30.8,2.1,57.4,0.818815331,-0.181184669,0.637630662
acanthaceae,acanthaceae,justicia,justicia_polygonoides,polygonoides,justicia_polygonoides,justicia_polygonoides,Accepted,-2,6.5,2.3,8.5,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_retusa,retusa,mendoncia_retusa,mendoncia_retusa,Accepted,-14.6,19.3,2.4,34,1,0,1
acanthaceae,acanthaceae,justicia,justicia_secunda,secunda,justicia_secunda,justicia_secunda,Accepted,-10.3,15.5,2.6,25.9,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_tubiflora,tubiflora,ruellia_tubiflora,ruellia_tubiflora,Accepted,-5.3,10.4,2.6,15.6,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_acanthus,acanthus,aphelandra_acanthus,aphelandra_acanthus,Accepted,-1,6.5,2.8,7.5,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_flava,flava,aphelandra_flava,aphelandra_flava,Accepted,-0.4,6.5,3,6.9,1,0,1
acanthaceae,acanthaceae,justicia,justicia_filibracteolata,filibracteolata,justicia_filibracteolata,justicia_filibracteolata,Accepted,-1.7,8,3.1,9.7,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_pennellii,pennellii,ruellia_pennellii,ruellia_terminalis,Synonym,0.8,6.5,3.6,5.7,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_pennellii,pennellii,mendoncia_pennellii,,No opinion,1.5,6.9,4.2,5.4,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_gracilis,gracilis,mendoncia_gracilis,mendoncia_gracilis,Accepted,-2.5,11.5,4.5,14,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_brenesii,brenesii,mendoncia_brenesii,mendoncia_brenesii,Accepted,-0.6,10.4,4.9,11,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_straminea,straminea,aphelandra_straminea,aphelandra_straminea,Accepted,3.5,6.5,5,3,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_humboldtiana,humboldtiana,ruellia_humboldtiana,ruellia_humboldtiana,Accepted,-0.8,10.9,5.1,11.7,1,0,1
acanthaceae,acanthaceae,justicia,justicia_carthaginensis,carthaginensis,justicia_carthagenensis,justicia_carthagenensis,Accepted,-11.3,21.6,5.2,32.8,1,0,1
acanthaceae,acanthaceae,justicia,justicia_carnea,carnea,justicia_carnea,justicia_carnea,Accepted,-4,18.3,7.2,22.3,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_macrophylla,macrophylla,ruellia_macrophylla,ruellia_macrophylla,Accepted,7.8,11.3,9.6,3.5,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_tonduzii,tonduzii,mendoncia_tonduzii,mendoncia_tonduzii,Accepted,8.5,11.9,10.2,3.5,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_storkii,storkii,aphelandra_storkii,aphelandra_storkii,Accepted,10.4,10.7,10.5,0.3,1,0,1
acanthaceae,acanthaceae,justicia,justicia_fulvicoma,fulvicoma,justicia_fulvicoma,justicia_fulvicoma,Accepted,-2.2,25.7,11.8,27.8,0.921146953,-0.078853047,0.842293907
acanthaceae,acanthaceae,ruellia,ruellia_inundata,inundata,ruellia_inundata,ruellia_inundata,Accepted,-2.4,27,12.3,29.4,0.880952381,-0.119047619,0.761904762
acanthaceae,acanthaceae,justicia,justicia_umbrosa,umbrosa,justicia_umbrosa,justicia_aurea,Synonym,8.5,16.5,12.5,8,1,0,1
acanthaceae,acanthaceae,poikilacanthus,poikilacanthus_macranthus,macranthus,poikilacanthus_macranthus,poikilacanthus_macranthus,Accepted,8.7,16.9,12.8,8.2,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_tuberosa,tuberosa,ruellia_tuberosa,ruellia_tuberosa,Accepted,6.5,19,12.8,12.5,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_scabra,scabra,aphelandra_scabra,aphelandra_scabra,Accepted,5.7,20.8,13.2,15.2,1,0,1
acanthaceae,acanthaceae,justicia,justicia_macrantha,macrantha,justicia_macrantha,justicia_macrantha,Accepted,9.7,17,13.3,7.3,1,0,1
acanthaceae,acanthaceae,justicia,justicia_rothschuhii,rothschuhii,justicia_rothschuhii,justicia_rothschuhii,Accepted,12.3,14.6,13.5,2.3,1,0,1
acanthaceae,acanthaceae,avicennia,avicennia_germinans,germinans,avicennia_germinans,avicennia_germinans,Accepted,-3.5,30.6,13.5,34.1,0.791788856,-0.208211144,0.583577713
acanthaceae,acanthaceae,ruellia,ruellia_jussieuoides,jussieuoides,ruellia_jussieuoides,ruellia_jussieuoides,Accepted,9.3,19.8,14.6,10.5,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_paniculata,paniculata,ruellia_paniculata,ruellia_paniculata,Accepted,8.8,20.8,14.8,12,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_deppeana,deppeana,aphelandra_deppeana,aphelandra_scabra,Synonym,8.2,22.3,15.2,14.1,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_stemonacanthoides,stemonacanthoides,ruellia_stemonacanthoides,ruellia_stemonacanthoides,Accepted,9.8,20.8,15.3,11,1,0,1
acanthaceae,acanthaceae,poikilacanthus,poikilacanthus_setiferus,setiferus,poikilacanthus_setifer,poikilacanthus_macranthus,Synonym,14.7,16.5,15.6,1.8,1,0,1
acanthaceae,acanthaceae,bravaisia,bravaisia_integerrima,integerrima,bravaisia_integerrima,bravaisia_integerrima,Accepted,12.3,19.9,16.1,7.6,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_albicaulis,albicaulis,ruellia_albicaulis,ruellia_inundata,Synonym,14.2,18.3,16.2,4.1,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_puberula,puberula,ruellia_puberula,ruellia_puberula,Accepted,16.2,16.4,16.3,0.2,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_palmeri,palmeri,ruellia_palmeri,ruellia_palmeri,Accepted,16.2,17.6,16.9,1.4,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_eumorphantha,eumorphantha,ruellia_eumorphantha,ruellia_eumorphantha,Accepted,16.2,18.3,17.2,2.1,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_wendtii,wendtii,aphelandra_wendtii,aphelandra_wendtii,Accepted,16.3,19.3,17.8,3.1,1,0,1
acanthaceae,acanthaceae,justicia,justicia_breviflora,breviflora,justicia_breviflora,justicia_breviflora,Accepted,16.3,19.8,18,3.6,1,0,1
acanthaceae,acanthaceae,justicia,justicia_lindeniana,lindeniana,justicia_lindeniana,justicia_lindeniana,Accepted,16.3,19.8,18,3.6,1,0,1
acanthaceae,acanthaceae,justicia,justicia_brandegeana,brandegeana,justicia_brandegeeana,justicia_brandegeeana,Accepted,-3.1,39,18,42.1,0.631828979,-0.368171021,0.263657957
acanthaceae,acanthaceae,ruellia,ruellia_hookeriana,hookeriana,ruellia_hookeriana,ruellia_hookeriana,Accepted,16.8,20.9,18.8,4.1,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_schiedeana,schiedeana,aphelandra_schiedeana,aphelandra_schiedeana,Accepted,18.3,20.3,19.3,2,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_speciosa,speciosa,ruellia_speciosa,,Illegitimate,18.3,20.5,19.4,2.1,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_madrensis,madrensis,aphelandra_madrensis,aphelandra_madrensis,Accepted,19.4,20.8,20.1,1.4,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_pereducta,pereducta,ruellia_pereducta,ruellia_pereducta,Accepted,19.3,20.8,20.1,1.5,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_nudiflora,nudiflora,ruellia_nudiflora,ruellia_nudiflora,Accepted,6.5,33.8,20.2,27.3,0.622710623,-0.377289377,0.245421245
acanthaceae,acanthaceae,ruellia,ruellia_mcvaughii,mcvaughii,ruellia_mcvaughii,ruellia_mcvaughii,Accepted,20.2,20.3,20.3,0.1,1,0,1
acanthaceae,acanthaceae,bravaisia,bravaisia_berlandieriana,berlandieriana,bravaisia_berlandieriana,bravaisia_berlandieriana,Accepted,19,21.9,20.4,2.9,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_lactea,lactea,ruellia_lactea,ruellia_lactea,Accepted,18.3,24.6,21.5,6.3,0.825396825,-0.174603175,0.650793651
acanthaceae,acanthaceae,justicia,justicia_furcata,furcata,justicia_furcata,,Illegitimate,19.3,24.6,21.9,5.3,0.79245283,-0.20754717,0.58490566
acanthaceae,acanthaceae,justicia,justicia_salviiflora,salviiflora,justicia_salviiflora,justicia_salviiflora,Accepted,16,28.4,22.2,12.5,0.60483871,-0.39516129,0.209677419
acanthaceae,acanthaceae,justicia,justicia_pringlei,pringlei,justicia_pringlei,justicia_pringlei,Accepted,20.8,25.5,23.1,4.6,0.574468085,-0.425531915,0.14893617
acanthaceae,acanthaceae,justicia,justicia_spicigera,spicigera,justicia_spicigera,justicia_spicigera,Accepted,18.3,28.1,23.2,9.8,0.530612245,-0.469387755,0.06122449
acanthaceae,acanthaceae,justicia,justicia_palmeri,palmeri,justicia_palmeri,justicia_palmeri,Accepted,23.9,24.4,24.1,0.5,0,-1,-1
acanthaceae,acanthaceae,ruellia,ruellia_yucatana,yucatana,ruellia_yucatana,ruellia_nudiflora,Synonym,17.8,30.5,24.1,12.7,0.448818898,-0.551181102,-0.102362205
acanthaceae,acanthaceae,justicia,justicia_caudata,caudata,justicia_caudata,justicia_caudata,Accepted,19.4,29.4,24.4,9.9,0.41,-0.59,-0.18
acanthaceae,acanthaceae,ruellia,ruellia_occidentalis,occidentalis,ruellia_occidentalis,ruellia_occidentalis,Accepted,17.8,31.2,24.5,13.4,0.425373134,-0.574626866,-0.149253731
acanthaceae,acanthaceae,ruellia,ruellia_peninsularis,peninsularis,ruellia_peninsularis,ruellia_peninsularis,Accepted,23.4,25.9,24.6,2.5,0.04,-0.96,-0.92
acanthaceae,acanthaceae,ruellia,ruellia_intermedia,intermedia,ruellia_intermedia,ruellia_intermedia,Accepted,20.8,29.4,25.1,8.5,0.313953488,-0.686046512,-0.372093023
acanthaceae,acanthaceae,ruellia,ruellia_ciliosa,ciliosa,ruellia_ciliosa,ruellia_ciliosa,Accepted,10.3,40.7,25.5,30.4,0.434210526,-0.565789474,-0.131578947
acanthaceae,acanthaceae,justicia,justicia_turneri,turneri,justicia_turneri,,No opinion,24.5,28.3,26.4,3.8,0,-1,-1
acanthaceae,acanthaceae,ruellia,ruellia_californica,californica,ruellia_californica,ruellia_californica,Accepted,24.5,29.4,26.9,4.9,0,-1,-1
acanthaceae,acanthaceae,justicia,justicia_candicans,candicans,justicia_candicans,justicia_candicans,Accepted,20.8,33.8,27.3,13,0.207692308,-0.792307692,-0.584615385
acanthaceae,acanthaceae,justicia,justicia_runyonii,runyonii,justicia_runyonii,justicia_runyonii,Accepted,26.4,28.6,27.5,2.2,0,-1,-1
acanthaceae,acanthaceae,ruellia,ruellia_corzoi,corzoi,ruellia_corzoi,ruellia_corzoi,Accepted,24.9,30.2,27.6,5.3,0,-1,-1
acanthaceae,acanthaceae,justicia,justicia_pilosella,pilosella,justicia_pilosella,justicia_pilosella,Accepted,22.8,32.3,27.6,9.5,0.073684211,-0.926315789,-0.852631579
acanthaceae,acanthaceae,ruellia,ruellia_parryi,parryi,ruellia_parryi,ruellia_parryi,Accepted,24.6,31.4,28,6.8,0,-1,-1
acanthaceae,acanthaceae,justicia,justicia_masiaca,masiaca,justicia_masiaca,justicia_masiaca,Accepted,26.8,29.4,28.1,2.6,0,-1,-1
acanthaceae,acanthaceae,ruellia,ruellia_drummondiana,drummondiana,ruellia_drummondiana,ruellia_drummondiana,Accepted,24.9,31.6,28.2,6.6,0,-1,-1
